Term,Library,p-value,q-value,z-score,combined score,overlaps
"CD14-low, CD16-positive monocyte - Blood",HuBMAP_ASCTplusB_augmented_2022,4.385e-13,8.5840e-11,4.619,131.4,CDA;RBM47;CSF3R;C5AR1;MS4A7;FGL2;PTAFR;AOAH;LILRA1;MEFV;LILRA2;SIRPB1;CXCL16;TYMP;HK3;ALDH3B1;CD14;SLC15A3;ZNF467;CD33;CCR1;VASP;FCER1G;SLC11A1;NFAM1;PRKCD;TFEB;CYBB;LILRB1;PILRA;LILRB2;LILRB3;LILRB4;FGR;HCK;NLRP12;TYROBP;SLC7A7;BCL3;TBXAS1;RARA;TLR8;CD68;S100A9;GAS7;MSRB1
CD14-positive monocyte - Blood,HuBMAP_ASCTplusB_augmented_2022,5.872e-13,8.5840e-11,4.673,131.6,CDA;CSF3R;SPI1;CEBPD;LRRK2;AQP9;C5AR1;FGL2;PTAFR;LILRA1;MEFV;LILRA2;SIRPB1;HCAR3;HK3;GLT1D1;ALDH3B1;CHST15;SIRPA;CD14;ZNF467;CCR1;SLC11A1;NFAM1;CYBB;PILRA;LILRB2;LYZ;LILRB3;FGR;BST1;HCK;MS4A6A;HAL;VCAN;NLRP12;TYROBP;SLC7A7;TLR8;PADI4;S100A9;TLR4;S100A8;CREB5;TLR2
CD14-positive monocyte - Bone Marrow,HuBMAP_ASCTplusB_augmented_2022,5.872e-13,8.5840e-11,4.673,131.6,CDA;IL1RN;GPR65;LRRK2;AQP9;C5AR1;PTPRJ;CD1D;GPR84;LILRA1;NOD2;SIRPB1;LGALS3;HCAR3;HK3;GLT1D1;IL18RAP;C3AR1;SIRPA;CD14;SLC15A3;JAZF1;CCR1;NFAM1;IL10RA;CYBB;PILRA;LILRB2;LYZ;LILRB3;FGR;HCK;MS4A6A;HAL;VCAN;TYROBP;MAFB;VNN2;KCNQ1;TLR8;CD68;S100A9;TLR4;S100A8;TLR2
Disease R-HSA-1643685,Reactome_2022,6.24e-13,2.1050e-10,1.597,44.89,APP;HDAC11;ZDHHC5;KEAP1;SLC4A1;ZDHHC8;ENO1;RBPJ;RXFP1;ZDHHC3;GJA1;HTR7;TRIM28;MYC;AKT3;C3AR1;TRIM25;BTRC;PRKACB;MCCC2;CUBN;ALG8;ALG9;ZNF160;MCCC1;FLT3LG;RNASE3;HLA-F;HSPG2;SND1;HLA-E;EML4;AKAP9;BTK;SERPING1;MAML3;TP53;SLC22A5;ABCB6;CTBP1;SUPT4H1;TGFA;PIK3R3;NEDD4L;IQGAP1;MEFV;GNS;ADAMTS10;FXR1;PRDX2;ADAMTS14;ADAMTS13;NTHL1;ST3GAL4;CHST14;PLCG1;ATG7;ATRIP;ST3GAL1;ST3GAL3;STAT5A;LYN;RPL39L;STAT5B;CREBBP;JAG1;YES1;BCL11A;ABCA3;FZD6;PARP16;GNG12;PARP14;GNG11;PTK2;SRPK1;ARTN;GOLGB1;CDC16;CD28;NMT2;SDC1;CALM1;ADA;NRP1;CDKN1A;PIGU;WDR48;SH3KBP1;HEXB;MECP2;IKBKB;GYS1;ATIC;ZMYM2;HEY1;TRIM4;CTSL;C1QBP;MRC1;RAC2;IDS;JAK1;PBRM1;SYK;PARP1;IFNGR1;PRMT1;IFNGR2;ZDHHC11;AVPR1A;DUSP8;PARP9;IL17RC;VAV1;APRT;IL17RA;PSMA5;KAT2B;HCK;KAT2A;SLC7A7;PTRH2;TLR8;TLR7;TLR5;CD46;TLR4;SLC29A3;TLR2;HBEGF;ZDHHC20;HSD17B4;CXCR4;ADCY2;ADCY1;ADCY6;GNAI2;NT5E;CUX1;PSMB3;GPC1;SLC17A5;GPC2;GPC4;MAP4K5;NPM1;CRBN;STAT1;STAT3;MIB2;MYO9B;GTF2H2;GTF2H3;GATAD2B;TARBP1;PSMB9;MIB1;HEYL;NLRP12;ZDHHC9;ADM2;CAMK4;AGRN;CD86;DPAGT1;SEMA5A;KDM1A;IRS1;PEBP1;IRS2;COMT;IPO5;HHAT;CYSLTR2;CCND1;CAPN1;GGT1;GYG2;GYG1;ZBP1;RNF43;MAP2K1;ANAPC7;FBXW7;UBE2E1;ALG13;CYBA;ZCRB1;ALG11;ATP1B2;ATP1B1;GTF2F2;ADAM17;SLC9A7;SLC9A9;ANAPC4;DPEP1;GEMIN5;SNRPE;GEMIN8;S100A9;ANAPC1;S100A8;SLC27A4;ANAPC2;NOTCH2;CALCRL;CUL5;TNKS;NOTCH4;ITPR1;FOXO6;ITPR2;ITPR3;GPR84;ADRB2;FOXO3;CORO1A;FOXO1;PGK1;DVL2;NLRP3;GGT5;SMAD4;CPSF6;CAV1;B3GALT6;DOLK;ESR1;NFKB1;ESR2;NFKB2;FGF17;ZC3HC1;CDK9;NR4A1;IL6;MAVS;G6PC3;CDK6;CDK4;GNB2;TBXAS1;NF1;CSPG4;TAB2;GNB5;GCLM;FGFR1;POMT2;YWHAE;ABCD4;HSP90AB1;B4GALT1;FLT3;ITGB3;POMT1;ARRB1;PIK3CB;SGSH;PSTPIP1;DUSP10;ADAMTS1;MYO18A;DNMT3B;HMG20B;GUSB;ABCD1;PTGIR;TBP;KSR1;VWF;PDPK1;NCBP2;ATRX;DNMT3A;PPP2R5C;POMGNT1;ETV6;TGFBR2;FGR;VCAN;TFDP1;CREB1;ADORA2A;TFDP2;IRF3;NRG4;LCK;POLR1A;IRF7;PIK3C3;LCT;SOS1;ST6GALNAC4;DOCK1;KDM7A;LTF;HDAC4;CAMK2B;HDAC5;SLC24A1;CEBPB;HDAC2;CAMK2D;GALT;CEBPD;SRC;TAF9;RPL36A;NOD2;CBL;LRP6;MAPK8;GANAB;GNG2;MTA1;GNG5;PABPN1;FIP1L1;RBBP4;E2F2;FYN;RBBP7;MTA2;MTA3;TCF7L2;SLC35A3;GALNT3;TAF13;B3GAT3;TRAT1;CNBP;GALNT1;SSRP1;BAIAP2;MAPK14;PML;RPIA;CLCN6;CD4;GALE;RAD50;ERCC3;IMPDH2;MGAT4A;ERCC2;MGAT4B;CD9;TAF6;CD247;TAF2;TAF1
Th17 cell differentiation,KEGG_2021_Human,6.627e-13,5.2520e-11,4.543,127.4,HSP90AB1;RORC;RORA;IL1RAP;GATA3;CD3E;HIF1A;IKBKB;RXRB;MAPK8;RXRA;TBX21;PLCG1;HLA-DPA1;JAK1;STAT5A;STAT5B;SMAD4;IL4R;IFNGR1;STAT1;IFNGR2;STAT3;NFATC2;NFATC1;MAPK14;FOXP3;NFKB1;MAPK12;RUNX1;TGFBR2;MAPK13;MAPK10;MAPK11;IL6;CD4;IRF4;LCK;IL2RA;IL2RB;RARA;HLA-DPB1;HLA-DRA;PRKCQ;CD247;IL6ST
Kaposi sarcoma-associated herpesvirus infection,KEGG_2021_Human,3.303e-12,2.0940e-10,3.141,83.03,CD86;CDKN1A;PIK3CD;PIK3CB;ICAM1;IKBKB;CCND1;MYC;AKT3;JAK1;ATG3;MAP2K1;SYK;IFNGR1;HLA-F;HLA-E;HCK;CREB1;IRF3;IRF7;PIK3C3;IL6ST;RAF1;TP53;IRF9;SRC;TCF7;LEF1;ITPR1;PIK3R3;ITPR2;ITPR3;PTGS2;HIF1A;PIK3R5;MAPK8;GNG2;GNG5;E2F2;PLCG1;CCR1;LYN;TCF7L2;CREBBP;ANGPT2;STAT1;STAT3;NFATC2;NFATC1;GNG12;MAPK14;GNG11;NFKB1;MAPK12;NFATC4;MAPK13;MAPK10;RCAN1;MAPK11;IL6;CDK6;CDK4;GNB2;CALM3;GNB5;CALM1
CD14+ Monocytes,Human_Gene_Atlas,1.653e-11,4.5740e-10,2.294,56.96,CD86;CDA;SPI1;CLEC10A;ZDHHC7;C3AR1;SIRPA;JUNB;SLC11A1;RNASE6;TRAFD1;CYBB;JMJD6;DOK2;TYROBP;BTK;S100A4;ZNF710;ATF6;CD1D;ALDH3B1;PSAP;CHST15;CD14;SLC15A3;ATG7;CCR1;ESRRA;CHKB;SETDB1;LY86;PILRA;POU2F2;BST1;MARCH1;TFCP2;MAFB;LPAR6;TBXAS1;FBXL5;OGFR;RNF13;CTSZ;ARRB1;PYGL;LSP1;TCIRG1;CTSS;SGSH;ING4;HK3;PSTPIP1;CASP10;TSPO;TK2;CD33;GPSM3;CCR2;PTGIR;FCER1G;TFEB;ARAP1;GMIP;TNFRSF1B;FGR;HCK;MS4A6A;PLSCR1;VCAN;SLC7A7;TLR5;STK40;BLVRA;TLR2;GAS7;HBEGF;DNASE1L1;CAMK2B;CEBPD;PPM1M;FGL2;CEBPG;AOAH;LILRA1;NOD2;LILRA2;STYXL1;PPM1F;TYMP;PAK1;RXRA;HLX;SH3BP2;MGAT2;MAP3K3;IL10RA;NAGA;LILRB1;MYO9B;LILRB2;LILRB3;MAPK14;CPPED1;CD4;CD68
NFKB1 mouse,TRRUST_Transcription_Factors_2019,2.017e-11,5.4770e-9,2.976,73.28,CD86;CDKN1A;BMPR2;THRB;CSF1;TNFSF13B;IKBKB;YY1;CCND1;CDH1;MYC;MYB;TIMP3;IL12A;UPP1;JUNB;TNFRSF4;IL15;DUSP1;MMP2;PLAUR;PLA2G4A;FOXP3;ALDH3A1;EBNA1BP2;ELF3;ADORA2A;IRF4;BTK;BIRC5;TLR4;FBP1;TLR2;CEBPA;CEBPB;EPAS1;SRC;LEF1;TWIST1;NRF1;PTGS2;NTN1;HES1;IGF2BP2;PRODH;PPARGC1A;NQO1;EGR2;CCL22;VCAM1;GADD45B;STAT1;MAPK14;SOD2;NFKB1;COL1A1;IL6;TEC;KLF5;WT1;CDK4;IL2RA;REL;BCL2;GCLM;PTPN4
PI3K-Akt signaling pathway WP4172,WikiPathway_2021_Human,4.896e-11,1.4660e-8,2.351,55.82,ATF2;CDKN1A;CSF3R;HSP90AB1;CSF1;IRS1;FLT3;ITGB4;LAMC3;FLT4;ITGB3;TNC;PIK3CD;PIK3CB;LAMC1;IGF1R;IKBKB;GYS1;CCND1;CREB3L4;MYC;MYB;CREB3L2;AKT3;ITGB8;ITGAV;JAK1;MAP2K1;IL4R;SYK;VWF;PDPK1;ITGA3;ITGA2;FLT3LG;PPP2R5C;RBL2;CREB3;CREB1;IL3RA;COL4A5;COL6A3;ITGA6;ITGA5;SGK1;RAF1;SOS1;TP53;SGK2;TLR4;TLR2;CREB5;TNXB;ATF6B;PKN3;TGFA;PIK3R3;LPAR3;LPAR4;FOXO3;PIK3R5;GNG2;GNG5;PDGFD;ANGPT2;ANGPT1;LAMB3;LAMB2;INSR;LAMB1;IGF1;GNG12;GNG11;PTK2;NFKB1;EPOR;COL1A1;FGF17;GH1;IL6;CDK6;G6PC3;LPAR6;CDK4;IL7;GNB2;IL2RA;ITGA11;IL2RB;BCL2;PKN1;GNB5;TEK;IL7R;FGFR1
B Cell Receptor Signaling Pathway WP23,WikiPathway_2021_Human,9.888e-11,1.7810e-8,4.220,97.21,BLK;ATF2;BCL10;CBL;ETS1;ELK1;FOXO1;MALT1;IKBKB;MAPK8;MYC;SH3BP2;RAC2;PIP5K1A;PIP5K1B;FYN;PLCG1;GTF2I;LYN;KLF11;MAP2K1;SYK;PDPK1;PRKCD;NFATC2;MAPK14;ILF2;NFKB1;VAV1;CREB1;TEC;BCL6;IRF4;LCK;BTK;REL;RAPGEF1;HCLS1;RAF1;SOS1
Adipogenesis WP236,WikiPathway_2021_Human,1.445e-10,1.7810e-8,3.525,79.86,CFD;CEBPA;CDKN1A;CEBPB;CEBPD;IRS1;EPAS1;SERPINE1;TWIST1;IRS2;RORA;GATA3;GATA2;HIF1A;FOXO1;LIPE;RXRA;NAMPT;PPARGC1A;MEF2A;STAT5A;NCOA1;STAT5B;NCOA2;EGR2;GADD45B;STAT1;STAT3;EBF1;GTF3A;NR1H3;LIFR;IGF1;RBL2;GH1;KLF7;IL6;BMP1;CREB1;KLF5;SCD;RARA;ID3;PPARG;IL6ST;LPIN1;LPIN3;PPARD
VEGFA-VEGFR2 Signaling Pathway WP3888,WikiPathway_2021_Human,1.486e-10,1.7810e-8,2.126,48.11,ATF2;EPRS;ELK1;ETS1;SLC8A1;ICAM1;CDH5;GJA1;CCND1;GRB10;LUC7L;ATP6V1E1;MAP3K5;PRKCI;MAP2K1;PRKCE;PRKCD;CYBB;PGD;SND1;EWSR1;NCL;FSCN1;ADAM9;TFAM;ERG;PFN1;ATP6V0D1;RAF1;ATF6;NOTCH4;PXN;IQGAP1;ADRB2;GATA2;FOXO3;PRKCZ;FUT1;GIGYF2;FOXO1;PRDX2;PGK1;PLCG1;CREBBP;JAG1;EGR3;CAV1;TNFRSF10C;NFATC2;NFATC1;NFKB1;PTK2;SRPK1;NR4A2;MOV10;GLUD1;RCAN1;NR4A1;OCLN;TFCP2;SYNJ1;BCL2;YWHAE;NRP2;ITGB3;HSPB1;PTPRJ;ADAMTS1;PBK;ITGAV;ACP1;CLIC1;TEAD4;ANXA1;PDPK1;TRPC1;MMP2;PLAUR;PLA2G4A;F3;CREB1;TAL1;RAPGEF1;BIRC5;ALDOA;GAPDH;ENG;HBEGF;HDAC4;HDAC5;TNXB;SRC;PTGS2;CBL;CAMKK2;PAK1;MAPK8;HLX;GPC1;CTNNA1;FYN;ABCF2;STAT1;STAT3;CDC42BPB;SOD2;MAPK14;PTPN14;MAPK12;PRKRA;PTPN9;P4HB
CD8+ Tcells,Human_Gene_Atlas,1.979e-10,4.1060e-9,1.916,42.82,ATF2;FMR1;RORA;ETS1;STK10;HERC4;CAPN7;ZNF83;LONP2;ZNF721;ZNF202;KCNH2;EOMES;ZNF18;CD96;SNRPN;SP110;IL11RA;ANGEL2;METTL3;FLT3LG;ALG13;THOC2;HLA-F;EML4;SIGIRR;RNF125;POLG2;PRKD3;ZNF559;PRKCQ;TNIK;FLYWCH1;NOTCH2;ANKRD17;TXK;TCF7;SDR39U1;ITPR3;NRF1;LY9;RASGRP1;ADAMTS10;DPH5;ZNF546;E4F1;SMYD4;TRPM7;PLCG1;ST3GAL1;PAG1;ZNF420;BPTF;STAT5B;NSUN5P1;TIA1;WDR59;NSUN5P2;ATP8B2;BCL11B;API5;MARCH9;PBX4;MARCH6;PARP14;BTBD8;CLK2;FUBP1;CDC16;CD28;CDK10;NMT2;TPP2;CDK13;IL7R;OGT;ATR;SETD4;CREBZF;ITK;DIDO1;RBM26;PDE3B;PPWD1;CTSW;ITGAL;CD3E;SYNE2;ARHGAP4;SYNE1;IKBKB;ZMYM6;UBTF;MAN2C1;MYBL1;SHPRH;KLF12;NSUN5;ARAP2;MSL3;IL16;PPP2R5C;RBL2;SLC7A6;AEBP2;IRF3;LCK;HNRNPH1;TRAF5;TRIM56;TRIM52;ZNF195;CXCR4;SPG7;MALT1;ZBTB40;FYN;ZNF500;HNRNPA1;SF3B1;ZNF224;REPS1;MLXIP;CRBN;USP20;STAT1;MGA;FOXJ3;ZFC3H1;TRMT1;HINFP;ASXL1;SNRK;CD6;PIK3IP1;STK17A;MGAT4A;CAMK4;SGSM2;PCYOX1L;ZNF217;ZNF337;TARDBP;MPHOSPH8
WholeBlood,Human_Gene_Atlas,2.668e-10,4.4290e-9,1.996,44.01,SPI1;CSF3R;ZFAND3;AQP9;RNF19B;RBPJ;BACH1;NAMPT;PDK3;SIRPA;OSTF1;G6PD;MORC3;ACSL1;SLC11A1;CYBB;HLA-E;ADAM17;TYROBP;S100A4;MPPE1;RAF1;S100A9;S100A8;NSMAF;CDC42SE1;NOTCH2;PXN;C5AR1;SUPT4H1;BCL10;IQGAP1;ABHD5;CHST15;ST3GAL6;S100A11;ZNF267;LYN;VASP;CCR1;STAT5B;CREBBP;CYP4F3;TNFRSF10C;PBX2;PPBP;PILRA;ARHGAP26;IGF2R;SLC6A6;ABTB1;SULT1B1;BCL6;VNN2;CPD;GNB2;SP3;BCL3;TAB2;CDK13;CNOT8;FBXL5;MXD1;CDS2;RNPEPL1;RNF13;ITGB3;PYGL;LSP1;LITAF;CTSS;PITPNC1;SIRPB1;OASL;MMP25;GLT1D1;IDS;GPSM3;NCOA1;CAP1;NCOA2;IFNGR1;IFNGR2;TFE3;PLAUR;BAZ1A;ARAP1;GMIP;PARP9;TOPORS;VAV1;HCK;ELF4;IRF1;RARA;PELI1;TLR8;LCP1;CD46;STK40;IRF9;CREB5;CAB39;GMPR2;PTAFR;NOD2;LILRA2;ZBTB40;ZDHHC18;PAK1;NFIL3;CXCR1;SH3BP2;CXCR2;ZNF467;MAP3K2;IL10RB;MBOAT7;LILRB2;MAPK14;SOD2;TPD52L2;SORL1;PSMB9;RNF149;ZNF217;PF4
NFKB1 human,TRRUST_Transcription_Factors_2019,9.674e-10,1.6090e-7,2.320,48.16,CD86;IL1RN;CDKN1A;PGLYRP2;CD83;CSF1;FLT4;SERPINE1;TNC;CTCF;ICAM1;TNFSF13B;YY1;LIPE;HOXA9;CCND1;CDH1;MYC;NAMPT;IL12A;UPP1;JUNB;CTSB;CCR2;TBP;VWF;MMP2;TRPC1;PLAUR;HLA-F;F3;FOXP3;BACE1;CREB3;CEACAM1;ELF3;ADORA2A;IRF4;IRF1;S100A6;IRF7;BIRC5;TLR7;TP53;FBP1;OPTN;TLR2;HBEGF;ABCG2;PTGFR;ABCB1;PTAFR;CXCR4;GATA3;NRF1;NOD2;PTGS2;FOXO3;HIF1A;MAT2A;TBX21;CXCR2;HES1;IGF2BP2;A2M;CCL22;VCAM1;TSLP;TNFSF14;POU2F2;SOD2;NFKB1;PSMB9;COL1A1;BST1;IL6;CXCL12;WT1;CDK4;IL2RA;BCL3;CD28;BCL2;SDC1
SP1 mouse,TRRUST_Transcription_Factors_2019,1.185e-9,1.6090e-7,2.411,49.56,APP;NRP1;SCARB1;ECM1;CDKN1A;CSF1;THRA;IRS1;FMR1;SERPINE1;BACH1;ETS1;PKD1;ICAM1;LIPE;CDH5;CCND1;MYC;MYB;MRC1;RAC2;TIMP3;TSPO;PHGDH;GSTK1;SMARCC1;ABCC1;PARP1;SLC11A1;MMP2;PLAUR;RUNX2;KLF16;TGFBR2;BACE1;NR5A1;ALDH3A1;TAL1;BTK;KCTD13;ITGA6;ITGA5;TLR2;LTF;CEBPA;PARG;CEBPD;EPAS1;SRC;MGST1;PTGS2;ATXN3;UCP3;MFN2;PDE6B;KCNN3;CD14;GPC4;MTA2;ACSS1;SKIL;ESRRA;SETDB1;INSR;NR1H3;NFATC1;SOD2;EPOR;HINFP;SMAD7;COL1A1;IL6;CDK6;TEC;PRKRA;NF1;RNF141
RELA human,TRRUST_Transcription_Factors_2019,1.606e-9,1.7440e-7,2.303,46.63,CD86;IL1RN;CDKN1A;CD83;CSF1;FLT4;SERPINE1;TNC;ICAM1;YY1;LIPE;CCND1;CDH1;MYC;NAMPT;IL12A;UPP1;JUNB;CTSB;CCR2;TBP;VWF;MMP2;TRPC1;PLAUR;HLA-F;F3;FOXP3;BACE1;CREB3;CEACAM1;ELF3;ADORA2A;IRF4;IRF1;S100A6;IRF7;BIRC5;TLR7;TP53;FBP1;OPTN;TLR2;HBEGF;PPARD;ABCG2;PTGFR;ABCB1;EPAS1;PTAFR;TWIST1;CXCR4;GATA3;NRF1;PTGS2;FOXO3;HIF1A;MAT2A;TBX21;CXCR2;HES1;IGF2BP2;CCL22;VCAM1;TSLP;TNFSF14;STAT1;STAT3;POU2F2;SOD2;NFKB1;PSMB9;COL1A1;IL6;CXCL12;CDK6;WT1;CDK4;IL2RA;BCL3;CD28;BCL2;SDC1
Lymphocyte percentage of white cells,GWAS_Catalog_2019,4.353e-9,6.2110e-6,3.222,62.03,CXCL6;IL1RN;CSF3R;FLT3;CHD7;NLRC5;IQGAP1;ADRB2;GATA2;ITGAL;ETS1;LY9;IL18RAP;SCML4;ZMIZ1;MIER1;CXCR2;DNMT3B;JAZF1;KLF12;ZBTB38;MINK1;DNMT3A;EBF1;TET2;PLAUR;NR1H3;ABCA7;TRMT1;PBX4;ANK1;NFKB1;KLF2;FOXP1;TADA2B;ELF1;CDK6;IL7;IL2RA;ITPKA;PIGL;IL7R;DAGLB;MXD3;CREB5
Antigen presenting cells in Thymus,Descartes_Cell_Types_and_Tissue_2021,9.334e-9,1.1440e-6,2.542,47.01,CD86;IL1RN;SPI1;CD83;FLT3;LRRK2;MS4A7;CTSS;SLC8A1;IL4I1;MMP25;CTSH;CLIC2;ZNF366;CMKLR1;HLA-DPA1;FCER1G;KDM2B;ACSL1;NFAM1;TFEB;PLAUR;CYBB;PAX5;NR5A1;FGR;HCK;MS4A6A;SLC7A7;TYROBP;SLC9A7;NRG4;TFEC;FSCN1;IRF8;TLR7;MS4A1;TLR2;PTAFR;CHRNA6;CEBPG;FGL2;ARHGAP22;CD14;SLC15A3;CCR1;ARNT2;CCL22;IL10RA;P2RY14;LY86;LYZ;MCOLN2;CPPED1;MARCH1;NLRP12;MAFB;HLA-DPB1;HLA-DRA;NABP1;CD68;LGMN
Multiple sclerosis,GWAS_Catalog_2019,1.236e-8,8.8220e-6,2.379,43.31,CD86;SLC44A2;GPR65;PTPRK;IKZF3;PVR;ETS1;BACH2;HHEX;ZMIZ1;MYC;TRIM2;MYB;CTSH;IL12A;SOX8;PHGDH;EOMES;NCOA2;ZHX3;SLC15A2;NCOA5;SYK;IFNGR2;ZBTB38;TET2;FOXP1;MAF;ZNF438;IRF8;ERG;ZNF433;JDP2;ZBTB46;SP140;TCF7;MAZ;AGAP2;CXCR4;BCL10;IQGAP1;RASGRP1;MALT1;ZFP36L1;EXTL2;TBX21;SH3BP2;TNFRSF14;RREB1;JAZF1;HACE1;CCL22;VCAM1;TNFSF14;STAT3;PLCL2;NFKB1;GALC;CD6;IL7;CD5;IL2RA;AGBL2;CD28;HLA-DRA;IL7R;SLC2A4RG;SLC25A36;LPIN3
Microglia in Cerebellum,Descartes_Cell_Types_and_Tissue_2021,1.379e-8,1.1440e-6,1.792,32.44,CD86;IL1RN;SPI1;CSF3R;CD83;CSF1;RXFP1;CXCL16;ICAM1;IL4I1;LGALS3;HPGDS;C3AR1;MAP3K5;SFMBT2;SLC11A1;PRKCD;RNASE6;CYBB;MITF;RUNX1;MAF;TYROBP;SLC9A9;BTK;ADAM9;S100A4;ZNF710;ALPK1;S100A9;CFD;CD274;SUCNR1;SP140;TXK;C5AR1;GPR84;ADRB2;MEFV;CORO1A;PIK3R5;TRPM2;DPP7;ALDH3B1;NLRP3;CD14;SLC15A3;ATG7;LYN;CCR1;STAT5A;ATP8B4;SLC37A2;EGR2;EGR3;GADD45B;TNFSF14;LY86;TNFRSF10C;NFATC2;NFATC1;IGF1;LYZ;IL6;MAFB;ARHGAP30;TBXAS1;CD28;NABP1;IL7R;LGMN;ARHGAP9;ZMYND15;CDKN1A;B4GALT1;BNC2;MAST3;ITGB3;ITGB2;CTSZ;MS4A7;PIK3CD;TFCP2L1;ITGAL;CTSS;ARHGAP4;TNFSF13B;SPN;PTER;CTSL;RAC2;CD37;CD33;HAVCR2;CTSB;FCER1G;SYK;IFNGR1;NFAM1;VAV1;IL17RA;MS4A6A;HCK;SLC7A7;TAL1;ELF4;TFEC;HCLS1;BLVRB;IRF8;PPARG;TLR7;LCP1;DAGLB;TLR5;TLR4;SLC29A3;TLR2;CEBPA;RBM47;PTAFR;AOAH;LILRA1;LILRA2;TYMP;GNA15;SLC17A9;IL10RA;CARD9;LILRB1;LILRB2;LILRB3;SORL1;LILRB4;CD4;TEC;P2RX1;CD68
Myeloid cells in Lung,Descartes_Cell_Types_and_Tissue_2021,3.317e-8,1.8360e-6,2.658,45.78,CD86;CD83;SPI1;FLT3;CLEC10A;MS4A7;SIRPB1;HPGDS;HTR7;ANPEP;C3AR1;CAPN3;CD33;CMKLR1;HAVCR2;HLA-DPA1;CPA3;NFAM1;RNASE6;CYBB;HCK;MS4A6A;IRF8;TLR8;PRTN3;FGL2;CD1D;LILRA1;NOD2;CD1C;MEFV;LILRA2;PTGS2;TRPM2;NLRP3;CD14;SLC15A3;CCR1;ATP8B4;EGR2;SLC37A2;PLA2G2D;NAPSB;P2RY14;CARD9;PILRA;LILRB2;LYZ;LILRB3;LILRB4;HLA-DPB1;HLA-DRA;LGMN
Myeloid cells in Heart,Descartes_Cell_Types_and_Tissue_2021,5.08e-8,2.1080e-6,2.938,49.35,CD86;IL1RN;RBM47;SPI1;FLT3;CLEC10A;C5AR1;MS4A7;CD1D;LILRA1;NOD2;RBPJ;SIRPB1;HK3;C3AR1;CD14;CCR2;HLA-DPA1;CCR1;EGR2;SLC37A2;CCL22;NAPSB;SLC11A1;NFAM1;CYBB;LILRB1;PILRA;LYZ;LILRB3;LILRB4;MYCL;HCK;MS4A6A;HAL;TYROBP;HLA-DRA;IRF8;TLR8;PRTN3;TLR7;S100A8;LGMN;TLR2
Inflammatory bowel disease,GWAS_Catalog_2019,9.402e-8,4.4720e-5,1.673,27.07,PUS10;EHMT2;GPR65;TNC;RORC;KEAP1;IKZF3;ETS1;BACH2;ICAM1;IL18RAP;ZMIZ1;RASSF5;RPS6KA2;PMPCA;TNFRSF4;ACAD10;SOX5;IL15RA;ZGPAT;SP110;SLC11A1;LIFR;FOXP1;DXO;ZNF831;PLA2R1;TRIB1;SLC22A4;MTMR3;L3MBTL2;SLC22A5;NOTCH4;SP140;ZFP36L1;ATXN2;NACC2;PMVK;INPP5E;MIER1;CAMTA1;LPXN;TNFRSF14;ATRIP;NKX2-3;ZNF300;IP6K2;PACSIN1;STAT5A;CCR1;STAT5B;PMM1;VDR;EPHX2;PBX2;LNPEP;SLC16A10;NFATC1;ZBTB12;BTBD8;NFKB1;FOSL2;LSM2;SMAD7;CLK2;ARHGAP30;REL;CD28;HLA-DRA;PLXNB1;PPT2;PKIG;GPR18;ADA;SLC2A4RG;GPSM1;CXCL6;PTGDR2;LRRK2;CTSZ;CTSW;LSP1;ADO;LITAF;PCSK5;HHEX;AUH;SNAPC4;DNMT3B;WDR6;ITGB8;ITGAV;CLIC1;GPSM3;ZNF365;CCR2;NCOA5;DUSP1;IFNGR2;TNFRSF18;DNMT3A;AMT;PLA2G4A;HCK;NR5A2;DDAH2;IRF4;IRF1;IRF8;ZNF513;CD48;IRF6;LTB;DAGLB;DLD;EGFL8;LTF;CEBPB;TNXB;ATF6B;ZBTB46;CEBPG;NOD2;PTGS2;AGPAT1;AKAP1;NFIL3;CXCR1;CXCR2;GNA12;PLAGL2;FYN;SLC12A5;PKLR;STAT1;LAMB2;CARD9;STAT3;LAMB1;SLC50A1;PUS7L;LILRB4;IRGM;USF1;ASXL1;GALC;CD6;CD5;IL2RA;IMPDH2;SERBP1;CD244;PF4
Myeloid cells in Intestine,Descartes_Cell_Types_and_Tissue_2021,1.821e-7,6.0450e-6,2.310,35.85,CD86;ZMYND15;SPI1;CD83;CSF3R;FLT3;CLEC10A;MS4A7;CTSS;HPGDS;NAMPT;C3AR1;CD33;ZNF385A;CMKLR1;CCR2;HLA-DPA1;FCER1G;RNASE6;CYBB;HCK;MS4A6A;TYROBP;TLR8;IRF8;TLR7;CD274;PTAFR;C5AR1;FGL2;ITPR2;CD1D;AOAH;LILRA1;CD1C;MEFV;LILRA2;TYMP;HCAR3;NUAK2;ZDHHC19;NLRP3;CD14;CCR1;CCL22;NAPSB;IL10RA;LY86;LILRB1;LILRB2;LYZ;LILRB3;LILRB4;MCOLN2;MARCH1;CD4;MAFB;TBXAS1;HLA-DPB1;HLA-DRA;LGMN
Neutrophil percentage of white cells,GWAS_Catalog_2019,0.00001393,0.004971,2.579,28.84,CXCL6;IL1RN;CSF3R;CEBPD;CEBPE;CHD7;GATA2;ITGAL;SCML4;ZMIZ1;PLAGL1;CXCR2;C3AR1;NLRP3;DNMT3A;TET2;PLAUR;ABCA7;TRMT1;ANK1;NFKB1;FOXP1;ELF1;RAD50;CDK6;IL7;ITPKA;ULK3;IRF8;PIGL;IL7R;DAGLB;MXD3;CREB5
